Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),80,61,415,194,400,202,361,258,763,525,236,78,379,372,283,166,6,0
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,235,78,379,372,283,166,6,0
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),0,1,0,2,0,0,0,1,2,1,1,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.58%,98.73%,100.0%,100.0%,99.3%,100.0%,5.66%,0.0%
Correct Pos->Neg Transformations (%),0.0%,1.85%,0.0%,0.93%,0.0%,0.0%,0.0%,0.38%,0.25%,0.19%,0.44%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),43.96%,53.51%,51.49%,47.78%,50.06%,47.64%,50.49%,49.33%,48.94%,49.39%,51.08%,54.55%,49.35%,50.07%,51.74%,48.82%,2.58%,0.0%
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,816,482,3908,2342,4786,2874,4950,3973,12756,9125,4048,1207,7780,7757,5742,3978,3039,1978
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.95%,100.0%,100.0%,100.0%,100.0%,100.0%,95.83%,93.35%
Pos->Neg Token Precision (%),49.88%,59.13%,49.77%,53.33%,49.92%,54.07%,50.48%,53.39%,50.42%,52.18%,51.9%,55.43%,50.82%,52.29%,53.07%,52.29%,48.8%,44.03%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.93%,99.93%,100.0%,100.0%,99.83%,100.0%,95.2%,92.12%
Pos->Neg Token Recall (%),49.88%,58.64%,49.74%,53.06%,49.9%,53.85%,50.42%,53.16%,50.37%,51.96%,51.65%,55.02%,50.82%,52.06%,52.86%,51.97%,48.65%,43.01%
Pos->Pos Category Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.95%,100.0%,100.0%,100.0%,100.0%,100.0%,99.46%,98.99%
Pos->Neg Category Precision (%),49.88%,59.13%,49.77%,53.33%,49.94%,54.11%,50.51%,53.39%,50.42%,52.18%,51.93%,55.43%,50.82%,52.3%,53.07%,52.34%,52.25%,48.13%
Pos->Pos Category Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.93%,99.93%,100.0%,100.0%,99.83%,100.0%,98.81%,97.69%
Pos->Neg Category Recall (%),49.88%,58.64%,49.74%,53.06%,49.92%,53.88%,50.44%,53.16%,50.37%,51.96%,51.67%,55.02%,50.82%,52.07%,52.86%,52.02%,52.1%,47.01%
Parseable Sentences (#),181,94,780,333,770,344,682,460,1512,951,394,123,747,688,506,299,196,144
Pos->Pos Parseable Sentences (#),80,60,415,192,400,202,361,257,761,524,235,78,379,372,285,166,101,87
Pos->Neg Parseable Sentences (#),101,34,365,141,370,142,321,203,751,427,159,45,368,316,221,133,95,57
Parseable Sentences (%),99.45%,82.46%,96.77%,82.02%,96.37%,81.13%,95.38%,87.95%,96.99%,89.46%,85.28%,86.01%,97.27%,92.6%,92.5%,87.94%,84.12%,83.24%
Pos->Pos Parseable Sentences (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.58%,98.73%,100.0%,100.0%,100.0%,100.0%,95.28%,94.57%
Pos->Neg Parseable Sentences (%),99.02%,62.96%,93.35%,65.89%,92.73%,63.96%,90.68%,76.32%,94.11%,79.22%,70.35%,70.31%,94.6%,85.18%,84.35%,76.44%,74.8%,70.37%
Pos->Pos Preseve Tree Structures (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.58%,98.73%,100.0%,100.0%,99.3%,100.0%,90.57%,75.0%
Pos->Pos Preserve Significant Clauses (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.58%,98.73%,100.0%,100.0%,99.3%,100.0%,90.57%,75.0%
Pos->Neg Preseve Tree Structures (%),0.0%,1.85%,0.0%,0.93%,0.0%,0.0%,0.0%,0.38%,0.25%,0.19%,0.44%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),99.02%,57.41%,92.84%,61.21%,92.23%,60.36%,89.55%,72.18%,93.36%,73.84%,63.27%,64.06%,94.34%,80.59%,79.39%,71.84%,73.23%,53.09%
Pos->Neg Predictions with Main Clause (#),101,34,365,141,370,142,321,203,751,427,159,45,368,314,220,132,93,52
Pos->Neg Predictions that Negate Main Clause (#),0,1,0,2,0,0,0,1,2,1,1,0,0,0,0,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (#),101,30,363,129,368,134,317,191,743,397,142,41,367,299,208,125,93,50
Pos->Neg Predictions that Negate Outside Main Clause (%),100.0%,88.24%,99.45%,91.49%,99.46%,94.37%,98.75%,94.09%,98.93%,92.97%,89.31%,91.11%,99.73%,95.22%,94.55%,94.7%,100.0%,96.15%
Pos->Neg Predictions without Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,5
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),0.0%,1.85%,0.0%,0.93%,0.0%,0.0%,0.0%,0.38%,0.25%,0.19%,0.44%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),0.0%,2.94%,0.0%,1.42%,0.0%,0.0%,0.0%,0.49%,0.27%,0.23%,0.63%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions with Main Clause (%),99.02%,62.96%,93.35%,65.89%,92.73%,63.96%,90.68%,76.32%,94.11%,79.22%,70.35%,70.31%,94.6%,84.64%,83.97%,75.86%,73.23%,64.2%
Pos->Neg Predictions Containing the Target Verb (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.74%,99.73%,99.62%,98.85%,91.34%,87.65%
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),7.84%,9.26%,0.0%,0.93%,11.03%,9.01%,0.85%,0.75%,7.27%,7.98%,9.29%,6.25%,8.74%,6.2%,9.92%,6.32%,2.36%,4.94%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),7.84%,9.26%,0.0%,0.93%,11.03%,9.01%,0.85%,0.75%,7.27%,7.98%,9.29%,6.25%,8.76%,6.22%,9.96%,6.4%,2.59%,5.63%
